customer_id,customer_age,gender,occupation_category,monthly_income_lakh,monthly_expenses_lakh,total_savings_lakh,total_investments_lakh,total_debt_lakh,primary_bank,num_products_held,account_tenure_months,avg_monthly_transaction_count,digital_engagement_score,credit_utilization_pct,investment_preference,risk_appetite,customer_city_tier
CUST0000034,53,Male,Retired,0.457,0.375,8.67,10.56,11.46,ICICI Bank,4,114,28,77.0,30.3,Mutual Funds,Moderate,Tier-2
CUST0000035,51,Female,IT/Tech,1.474,0.833,21.74,24.59,67.34,ICICI Bank,1,76,117,58.9,38.0,Mutual Funds,High,Tier-3
CUST0000036,30,Male,Banking/Finance,0.651,0.371,27.58,23.76,24.13,Kotak Mahindra,7,171,33,87.0,32.8,Equity,High,Tier-3
CUST0000037,53,Male,Business Owner,1.257,0.71,91.97,58.84,70.46,ICICI Bank,1,164,67,38.6,30.4,Hybrid,Moderate,Tier-1
CUST0000038,44,Male,IT/Tech,0.937,0.717,12.37,2.24,8.49,ICICI Bank,5,172,51,65.3,36.4,Equity,High,Tier-2
CUST0000039,22,Male,Retired,0.3,0.138,26.68,18.61,6.26,ICICI Bank,7,19,70,81.2,81.3,Fixed Deposits,Moderate,Tier-1
CUST0000040,43,Male,Business Owner,1.722,1.276,160.08,76.06,100.0,SBI,8,137,100,75.7,26.4,None,High,Tier-1
CUST0000041,22,Female,Banking/Finance,0.884,0.367,44.76,25.78,38.43,Other,1,90,99,36.7,67.3,Fixed Deposits,Low,Tier-1
CUST0000042,29,Male,IT/Tech,1.203,0.636,65.96,63.76,40.65,SBI,6,285,96,81.6,52.7,Mutual Funds,Moderate,Tier-1
CUST0000043,36,Female,Retired,0.3,0.141,27.07,35.86,9.48,HDFC Bank,5,12,12,72.5,73.9,Fixed Deposits,Moderate,Tier-2
CUST0000044,31,Male,IT/Tech,1.158,0.54,110.09,30.0,20.12,SBI,3,134,112,85.0,41.7,Fixed Deposits,High,Tier-3
CUST0000045,69,Male,Healthcare,0.882,0.67,66.89,49.24,44.9,Axis Bank,1,219,84,79.0,18.6,Gold,Moderate,Tier-3
CUST0000046,39,Male,Government,0.344,0.284,14.76,7.95,4.68,SBI,8,289,114,47.7,66.7,None,Low,Tier-2
CUST0000047,28,Female,Manufacturing,0.586,0.321,11.35,1.42,29.49,Axis Bank,2,140,26,77.2,65.6,Hybrid,Moderate,Tier-2
CUST0000048,25,Male,Retired,0.551,0.261,35.51,5.99,6.86,ICICI Bank,6,60,109,61.3,5.7,Hybrid,Low,Tier-2
CUST0000049,72,Male,Banking/Finance,1.049,0.505,10.96,8.92,20.88,ICICI Bank,3,274,52,68.7,44.7,Real Estate,Moderate,Tier-2
CUST0000050,34,Male,IT/Tech,0.84,0.479,52.7,51.05,26.57,SBI,6,172,38,76.9,23.9,Fixed Deposits,High,Tier-1
CUST0000051,50,Male,Business Owner,2.622,1.435,148.66,96.7,131.48,HDFC Bank,2,54,60,68.0,56.9,Equity,Moderate,Tier-2
CUST0000052,25,Male,Healthcare,0.709,0.342,34.24,0.09,19.82,ICICI Bank,1,164,34,37.8,17.0,Mutual Funds,Low,Tier-1
CUST0000053,33,Female,Banking/Finance,0.88,0.363,34.61,49.52,43.3,Axis Bank,3,213,55,66.1,54.6,Mutual Funds,Low,Tier-1
CUST0000054,23,Male,Government,0.837,0.448,54.13,79.06,44.37,ICICI Bank,1,226,101,93.2,62.5,Fixed Deposits,Moderate,Tier-2
CUST0000055,50,Male,Other,0.321,0.219,10.6,13.43,14.3,HDFC Bank,6,210,49,54.3,17.0,Mutual Funds,Moderate,Tier-2
CUST0000056,41,Female,IT/Tech,0.622,0.321,52.14,56.73,32.6,SBI,4,278,72,25.0,72.0,Fixed Deposits,Moderate,Tier-3
CUST0000057,46,Male,Manufacturing,0.406,0.295,34.24,17.9,1.93,HDFC Bank,1,212,22,85.0,45.4,Real Estate,Moderate,Tier-1
CUST0000058,22,Male,IT/Tech,0.987,0.513,13.11,9.25,27.88,SBI,1,69,9,52.5,41.7,Fixed Deposits,Moderate,Tier-2
CUST0000059,63,Female,Retired,0.3,0.214,5.6,7.8,11.31,HDFC Bank,5,81,33,74.7,15.9,Equity,Moderate,Tier-1
CUST0000060,23,Male,Manufacturing,0.753,0.414,46.83,18.36,35.31,Kotak Mahindra,2,59,9,89.2,12.4,Hybrid,High,Tier-2
CUST0000061,55,Male,Banking/Finance,0.709,0.314,14.7,4.21,31.14,ICICI Bank,8,103,25,72.9,83.1,Mutual Funds,Low,Tier-1
CUST0000062,69,Male,Business Owner,1.615,1.232,105.16,33.75,2.88,Other,4,272,114,92.1,40.3,Equity,Low,Tier-1
CUST0000063,33,Male,Healthcare,0.538,0.282,32.82,21.41,13.16,Axis Bank,6,157,15,46.3,67.7,None,Moderate,Tier-1
CUST0000064,44,Male,Manufacturing,0.442,0.31,20.34,12.91,25.18,Other,6,294,17,50.7,55.6,Equity,Moderate,Tier-1
CUST0000065,22,Female,Banking/Finance,1.132,0.84,77.29,27.38,48.33,Kotak Mahindra,8,224,106,44.6,19.8,Fixed Deposits,Low,Tier-1
CUST0000066,24,Male,Retired,0.3,0.244,9.1,0.54,6.04,ICICI Bank,6,155,31,88.7,16.9,Fixed Deposits,Moderate,Tier-1
CUST0000067,41,Male,Other,0.3,0.122,4.6,0.51,12.4,Kotak Mahindra,5,45,72,48.6,73.8,Fixed Deposits,Low,Tier-2
CUST0000068,35,Female,Retired,0.506,0.346,3.97,4.94,16.53,ICICI Bank,1,170,115,68.7,22.6,Equity,Low,Tier-2
CUST0000069,35,Male,IT/Tech,0.9,0.52,10.37,15.54,43.16,SBI,6,212,108,80.6,69.8,Real Estate,Low,Tier-1
CUST0000070,24,Male,Other,0.579,0.324,32.68,37.45,33.29,PNB,6,183,113,68.6,25.5,Fixed Deposits,High,Tier-3
CUST0000071,35,Male,Government,0.606,0.402,54.75,71.34,23.81,Bank of Baroda,4,104,62,51.8,44.3,Mutual Funds,High,Tier-1
CUST0000072,27,Female,Government,0.608,0.335,6.3,8.09,24.87,HDFC Bank,2,50,99,30.2,59.3,Hybrid,Moderate,Tier-3
CUST0000073,27,Female,IT/Tech,1.133,0.771,108.06,158.74,60.73,Axis Bank,3,3,67,64.4,30.2,Mutual Funds,Low,Tier-1
CUST0000074,61,Male,Business Owner,1.874,1.238,20.14,28.01,88.78,Bank of Baroda,5,233,43,77.1,27.6,Gold,Moderate,Tier-2
CUST0000075,32,Female,IT/Tech,1.101,0.877,86.99,95.43,64.59,PNB,6,247,61,34.6,14.2,Fixed Deposits,High,Tier-1
CUST0000076,33,Female,Business Owner,1.918,1.112,59.26,25.15,26.47,ICICI Bank,1,113,22,79.3,55.1,Hybrid,Low,Tier-3
CUST0000077,32,Male,IT/Tech,0.858,0.693,50.36,26.04,20.97,HDFC Bank,6,23,65,60.8,7.5,Fixed Deposits,Moderate,Tier-3
CUST0000078,49,Male,IT/Tech,1.106,0.597,18.45,23.48,8.34,HDFC Bank,6,259,83,49.1,65.2,None,Low,Tier-2
CUST0000079,40,Male,Manufacturing,0.448,0.213,32.02,36.35,23.02,ICICI Bank,7,92,100,48.5,30.8,Mutual Funds,Moderate,Tier-1
CUST0000080,44,Female,Healthcare,0.561,0.304,43.92,53.83,32.45,Axis Bank,6,287,27,57.8,77.2,Gold,High,Tier-1
CUST0000081,38,Male,Government,0.709,0.405,54.24,69.76,34.3,Axis Bank,4,151,10,53.3,20.3,Gold,Moderate,Tier-1
CUST0000082,48,Female,Retired,0.555,0.379,53.04,48.32,13.9,HDFC Bank,8,221,24,58.0,51.9,Fixed Deposits,Moderate,Tier-2
CUST0000083,60,Female,Other,0.627,0.356,47.64,54.64,8.31,SBI,8,225,13,62.6,34.6,Mutual Funds,High,Tier-3
CUST0000084,50,Male,IT/Tech,0.806,0.387,34.39,34.97,0.11,Axis Bank,8,272,77,8.6,38.0,Hybrid,Low,Tier-2
CUST0000085,46,Male,Healthcare,0.925,0.753,66.44,27.23,21.25,HDFC Bank,3,126,95,65.8,53.6,Fixed Deposits,Moderate,Tier-2
CUST0000086,28,Male,Government,0.3,0.137,19.79,19.24,12.96,Kotak Mahindra,1,220,101,85.4,74.0,Mutual Funds,Moderate,Tier-3
CUST0000087,30,Female,Business Owner,1.84,0.902,156.37,97.94,37.04,ICICI Bank,3,120,48,79.2,27.0,Gold,Moderate,Tier-2
CUST0000088,33,Female,IT/Tech,0.86,0.384,73.81,82.86,28.95,HDFC Bank,8,96,6,53.7,28.7,Equity,Moderate,Tier-2
CUST0000089,34,Female,Healthcare,0.823,0.38,21.36,13.84,33.87,PNB,1,276,71,72.4,63.2,Real Estate,Moderate,Tier-2
CUST0000090,24,Male,Government,0.7,0.493,46.19,56.18,26.84,Axis Bank,6,119,28,46.7,26.9,Mutual Funds,Moderate,Tier-1
CUST0000091,38,Male,Healthcare,0.537,0.454,14.54,19.64,22.19,SBI,1,42,62,70.1,24.0,Fixed Deposits,Low,Tier-1
CUST0000092,32,Male,Business Owner,0.972,0.621,9.25,8.39,53.24,ICICI Bank,5,295,72,61.3,32.2,Hybrid,Moderate,Tier-2
CUST0000093,69,Female,Retired,0.3,0.172,27.8,30.71,11.38,HDFC Bank,2,21,96,62.7,16.0,Mutual Funds,Low,Tier-3
CUST0000094,27,Female,IT/Tech,0.51,0.337,26.76,37.06,15.84,SBI,3,293,118,60.4,24.6,Gold,Moderate,Tier-3
CUST0000095,47,Male,IT/Tech,0.866,0.479,20.39,8.43,30.19,Other,6,237,18,44.4,64.5,Hybrid,Moderate,Tier-1
CUST0000096,43,Female,Retired,0.363,0.223,29.14,8.99,2.38,ICICI Bank,5,182,75,31.3,4.3,None,Moderate,Tier-1
CUST0000097,52,Female,IT/Tech,0.652,0.315,3.96,1.46,32.6,ICICI Bank,2,39,7,59.0,37.3,Fixed Deposits,Low,Tier-3
CUST0000098,57,Female,Other,0.3,0.158,28.11,33.28,13.58,ICICI Bank,1,287,14,73.9,34.2,Fixed Deposits,Moderate,Tier-1
CUST0000099,69,Male,IT/Tech,0.652,0.418,19.8,9.23,32.92,Other,6,9,34,61.4,3.4,Equity,Moderate,Tier-2
CUST0000100,55,Female,IT/Tech,1.628,1.318,59.78,86.98,18.35,Other,2,45,12,75.5,3.0,Fixed Deposits,Moderate,Tier-2
CUST0000101,57,Male,Manufacturing,0.3,0.138,13.2,8.08,5.32,Kotak Mahindra,5,73,6,44.0,71.0,Real Estate,Low,Tier-1
CUST0000102,47,Male,Government,0.499,0.329,31.22,44.49,11.04,HDFC Bank,5,254,15,10.9,45.0,Equity,Moderate,Tier-1
CUST0000103,25,Male,IT/Tech,1.142,0.612,47.02,39.2,15.28,PNB,3,111,68,44.5,34.9,None,High,Tier-1
CUST0000104,26,Male,Retired,0.442,0.292,9.53,4.76,20.45,SBI,1,167,46,92.6,36.0,Mutual Funds,Moderate,Tier-2
CUST0000105,70,Female,Banking/Finance,0.68,0.445,55.87,46.0,24.05,HDFC Bank,4,167,41,19.0,7.7,Fixed Deposits,High,Tier-1
CUST0000106,23,Male,IT/Tech,1.043,0.803,83.08,37.63,30.32,HDFC Bank,5,45,25,75.7,30.5,Gold,Low,Tier-3
CUST0000107,71,Male,Business Owner,3.253,1.827,99.15,67.47,76.01,SBI,7,277,95,35.8,32.4,None,Moderate,Tier-1
CUST0000108,72,Male,IT/Tech,0.69,0.465,12.07,12.57,21.03,Axis Bank,8,215,109,65.3,25.4,Equity,Moderate,Tier-1
CUST0000109,42,Female,Business Owner,1.556,0.723,25.45,3.48,53.25,Axis Bank,4,114,113,79.4,64.0,Equity,Moderate,Tier-1
CUST0000110,41,Female,IT/Tech,1.369,0.822,55.65,33.74,79.42,SBI,8,131,24,22.1,65.7,Equity,Moderate,Tier-1
CUST0000111,42,Male,Retired,0.326,0.142,7.07,9.93,4.32,HDFC Bank,6,193,119,54.9,69.4,Hybrid,Moderate,Tier-1
CUST0000112,39,Female,IT/Tech,1.229,0.965,106.88,10.18,0.78,HDFC Bank,8,270,50,21.0,17.6,None,High,Tier-2
CUST0000113,43,Female,Retired,0.3,0.236,2.48,3.68,5.66,Other,7,51,104,35.8,15.5,Fixed Deposits,Moderate,Tier-3
CUST0000114,23,Male,Banking/Finance,0.826,0.369,5.3,3.0,45.4,Bank of Baroda,6,44,9,75.7,50.2,Gold,Low,Tier-2
CUST0000115,44,Female,Government,0.656,0.274,6.61,0.03,17.94,ICICI Bank,5,124,71,90.0,65.7,Fixed Deposits,High,Tier-2
CUST0000116,33,Female,IT/Tech,1.012,0.644,30.67,17.69,54.62,HDFC Bank,4,107,21,53.5,23.0,Equity,Low,Tier-1
CUST0000117,37,Female,Banking/Finance,1.022,0.51,54.97,78.15,41.13,HDFC Bank,3,181,94,86.2,31.2,Gold,High,Tier-1
CUST0000118,24,Female,Government,0.517,0.332,25.5,3.72,21.25,Other,2,267,59,60.9,41.5,Hybrid,Moderate,Tier-1
CUST0000119,34,Male,Other,0.55,0.285,7.95,4.63,20.93,HDFC Bank,1,99,12,47.1,43.9,Mutual Funds,High,Tier-3
CUST0000120,32,Female,Business Owner,0.683,0.361,12.44,2.77,17.08,HDFC Bank,6,23,89,46.6,87.4,Fixed Deposits,Moderate,Tier-2
CUST0000121,36,Male,Healthcare,0.974,0.524,41.7,9.2,26.14,Axis Bank,3,26,106,37.6,52.2,Fixed Deposits,Low,Tier-1
CUST0000122,65,Male,Banking/Finance,0.83,0.686,36.15,10.09,26.99,HDFC Bank,5,226,113,55.2,11.7,Gold,Low,Tier-2
CUST0000123,53,Male,Manufacturing,0.498,0.33,34.31,9.9,28.43,ICICI Bank,8,74,64,38.5,56.3,Equity,Moderate,Tier-1
CUST0000124,72,Male,Retired,0.376,0.245,19.88,16.56,8.93,Kotak Mahindra,1,278,66,53.2,42.5,Fixed Deposits,Moderate,Tier-2
CUST0000125,64,Male,Other,0.849,0.443,61.0,43.62,49.0,HDFC Bank,4,299,46,30.8,73.9,Fixed Deposits,Moderate,Tier-2
CUST0000126,52,Female,Business Owner,1.083,0.654,27.39,29.57,36.39,ICICI Bank,3,31,59,77.9,65.2,Fixed Deposits,Moderate,Tier-3
CUST0000127,60,Male,Manufacturing,0.895,0.663,29.5,17.38,10.68,ICICI Bank,6,163,74,43.9,50.1,Mutual Funds,Low,Tier-2
CUST0000128,35,Male,Manufacturing,0.562,0.261,29.2,6.11,3.27,ICICI Bank,1,148,16,47.3,59.6,Mutual Funds,Moderate,Tier-3
CUST0000129,58,Female,Other,0.3,0.228,7.78,6.79,9.06,Axis Bank,4,177,91,46.9,25.6,Fixed Deposits,Low,Tier-2
CUST0000130,42,Male,Manufacturing,0.611,0.441,57.98,86.47,3.12,HDFC Bank,1,78,91,65.7,33.8,Equity,Moderate,Tier-2
CUST0000131,41,Male,Government,0.6,0.379,40.09,38.27,12.06,Other,2,188,54,65.4,28.3,None,Moderate,Tier-3
CUST0000132,72,Male,Retired,0.41,0.249,11.21,8.85,8.14,SBI,8,287,43,56.5,51.9,Equity,Moderate,Tier-2
CUST0000133,26,Male,Retired,0.321,0.184,22.39,26.9,4.15,Kotak Mahindra,5,110,73,98.3,42.1,Fixed Deposits,Low,Tier-3
CUST0000134,30,Male,Manufacturing,0.361,0.242,25.8,25.11,12.02,Axis Bank,3,70,109,59.8,59.0,Equity,High,Tier-1
CUST0000135,38,Female,Healthcare,0.611,0.345,38.05,46.04,28.5,SBI,7,233,95,66.2,63.7,Fixed Deposits,Low,Tier-2
CUST0000136,24,Male,Banking/Finance,0.448,0.373,28.09,24.0,25.25,HDFC Bank,5,249,54,34.2,50.7,Fixed Deposits,Moderate,Tier-1
CUST0000137,29,Female,Other,0.3,0.219,2.34,0.72,10.51,SBI,5,142,20,64.5,59.9,Real Estate,Moderate,Tier-2
CUST0000138,74,Male,IT/Tech,0.835,0.416,39.04,42.16,0.62,PNB,1,278,5,20.4,39.1,Real Estate,Moderate,Tier-1
CUST0000139,35,Female,Banking/Finance,0.817,0.492,61.36,72.21,32.78,ICICI Bank,4,90,63,45.8,14.2,Real Estate,Moderate,Tier-3
CUST0000140,43,Female,Business Owner,2.884,1.912,33.28,20.22,122.46,SBI,1,169,57,56.5,9.7,Hybrid,Moderate,Tier-1
CUST0000141,45,Male,Government,0.362,0.249,22.36,10.0,17.46,SBI,7,270,103,84.7,70.9,Gold,Low,Tier-3
CUST0000142,69,Female,IT/Tech,1.113,0.843,71.84,74.23,47.5,Axis Bank,3,102,78,78.7,48.3,Fixed Deposits,Moderate,Tier-1
CUST0000143,39,Female,Business Owner,0.968,0.648,34.4,46.19,56.71,ICICI Bank,1,135,32,85.2,31.4,Mutual Funds,Low,Tier-2
CUST0000144,24,Female,Healthcare,0.386,0.214,31.83,21.89,1.29,SBI,3,175,31,76.4,9.7,Fixed Deposits,Moderate,Tier-1
CUST0000145,39,Male,IT/Tech,0.828,0.344,28.34,35.05,42.17,HDFC Bank,2,226,89,47.6,49.4,Hybrid,Moderate,Tier-1
CUST0000146,24,Female,Healthcare,0.616,0.467,34.18,21.28,32.53,Axis Bank,7,296,57,61.5,80.1,Real Estate,Low,Tier-1
CUST0000147,31,Female,Business Owner,1.286,0.538,15.71,8.5,46.92,Other,2,200,78,66.5,6.6,Mutual Funds,High,Tier-3
CUST0000148,23,Male,Business Owner,1.302,0.559,15.04,7.31,45.76,Kotak Mahindra,4,120,83,77.5,3.0,Equity,High,Tier-1
CUST0000149,31,Male,Healthcare,0.759,0.529,35.12,8.94,11.84,SBI,3,27,26,30.0,56.0,Real Estate,High,Tier-3
CUST0000150,70,Male,Banking/Finance,0.76,0.337,13.65,4.2,17.91,Bank of Baroda,3,81,70,60.7,37.8,Mutual Funds,Moderate,Tier-1
CUST0000151,23,Male,Healthcare,0.316,0.231,26.68,28.81,8.21,SBI,4,41,31,74.2,72.4,Fixed Deposits,Low,Tier-1
CUST0000152,37,Female,Banking/Finance,0.748,0.358,63.72,91.11,28.03,ICICI Bank,7,250,93,43.5,48.5,Mutual Funds,Low,Tier-2
CUST0000153,27,Male,Manufacturing,0.586,0.431,26.47,13.01,3.67,HDFC Bank,6,88,46,70.5,58.3,Gold,Moderate,Tier-1
CUST0000154,22,Female,Retired,0.454,0.262,14.45,7.26,3.99,ICICI Bank,1,107,22,68.1,57.5,Mutual Funds,Moderate,Tier-1
CUST0000155,22,Male,Business Owner,1.441,0.797,113.6,76.18,47.06,HDFC Bank,5,223,63,51.1,57.7,Fixed Deposits,Low,Tier-2
CUST0000156,43,Male,Retired,0.313,0.242,11.88,17.74,13.93,ICICI Bank,1,51,68,55.6,41.4,Equity,Moderate,Tier-2
CUST0000157,40,Female,IT/Tech,1.225,0.576,65.47,65.1,33.52,ICICI Bank,2,219,26,65.2,9.3,Gold,Moderate,Tier-1
CUST0000158,61,Male,Business Owner,1.725,1.3,71.12,58.34,91.3,Other,3,88,78,82.4,73.3,Equity,Moderate,Tier-1
CUST0000159,45,Female,Manufacturing,0.392,0.259,32.39,35.03,22.83,SBI,1,93,24,54.3,72.6,Mutual Funds,Moderate,Tier-1
CUST0000160,35,Female,Government,0.42,0.306,21.66,1.79,5.31,ICICI Bank,2,215,32,44.6,11.9,Hybrid,Low,Tier-3
CUST0000161,48,Female,Other,0.369,0.28,27.22,8.63,5.27,PNB,1,265,19,62.5,85.4,Real Estate,Low,Tier-3
CUST0000162,24,Male,Business Owner,2.239,1.314,46.6,26.89,15.97,SBI,2,171,28,38.8,42.8,Gold,Moderate,Tier-2
CUST0000163,28,Female,Business Owner,1.668,1.394,34.34,36.5,43.24,SBI,1,275,115,13.6,64.0,Gold,Low,Tier-2
CUST0000164,38,Male,Manufacturing,0.485,0.279,43.52,24.3,20.98,HDFC Bank,7,116,47,56.5,60.3,Fixed Deposits,Low,Tier-1
CUST0000165,57,Female,Government,0.66,0.526,58.3,14.14,34.35,HDFC Bank,5,113,34,88.9,54.8,Gold,Low,Tier-3
CUST0000166,67,Female,Manufacturing,0.444,0.374,23.97,22.77,15.41,SBI,1,40,35,82.8,22.8,Gold,High,Tier-3
CUST0000167,35,Male,Government,0.579,0.441,30.59,41.76,1.49,Other,2,61,61,56.1,74.2,Real Estate,Low,Tier-1
CUST0000168,24,Male,Banking/Finance,1.071,0.828,7.16,0.81,4.56,HDFC Bank,5,63,90,19.0,44.6,Fixed Deposits,Moderate,Tier-2
CUST0000169,40,Female,Banking/Finance,0.972,0.795,22.0,5.13,39.77,PNB,3,181,46,87.1,25.1,None,Moderate,Tier-2
CUST0000170,43,Male,Manufacturing,0.363,0.165,33.75,18.73,7.27,SBI,2,183,41,72.1,48.7,Fixed Deposits,Moderate,Tier-1
CUST0000171,68,Female,Retired,0.307,0.134,3.15,2.22,5.19,ICICI Bank,6,51,63,46.3,67.4,Mutual Funds,Moderate,Tier-3
CUST0000172,72,Female,IT/Tech,0.789,0.656,60.14,7.99,0.29,Axis Bank,7,217,56,24.7,29.6,Mutual Funds,Moderate,Tier-2
CUST0000173,28,Female,Banking/Finance,0.727,0.59,58.7,84.87,1.83,HDFC Bank,7,14,30,85.6,27.9,Mutual Funds,Moderate,Tier-1
CUST0000174,36,Female,IT/Tech,1.0,0.41,59.38,31.34,12.28,HDFC Bank,5,101,86,9.3,90.8,Equity,Moderate,Tier-2
CUST0000175,28,Female,Government,0.732,0.328,40.03,34.58,32.8,ICICI Bank,3,298,91,97.8,28.5,Equity,High,Tier-2
CUST0000176,27,Other,IT/Tech,1.062,0.436,39.55,42.57,23.88,SBI,6,283,56,30.7,26.9,Mutual Funds,High,Tier-2
CUST0000177,69,Male,Government,0.36,0.26,7.73,3.0,20.33,SBI,8,118,60,50.4,26.2,Real Estate,Low,Tier-2
CUST0000178,41,Female,Banking/Finance,0.476,0.191,26.46,21.41,12.78,Other,1,253,33,74.6,64.3,Fixed Deposits,High,Tier-1
CUST0000179,71,Male,Business Owner,1.827,1.53,163.24,200.76,57.24,Axis Bank,2,66,83,77.2,52.7,Real Estate,Moderate,Tier-2
CUST0000180,45,Male,Retired,0.487,0.247,28.95,1.18,26.49,HDFC Bank,2,244,22,68.5,47.2,Gold,Moderate,Tier-2
CUST0000181,22,Female,IT/Tech,1.181,0.767,79.87,80.16,51.44,SBI,2,30,100,76.4,55.1,Real Estate,Moderate,Tier-3
CUST0000182,30,Male,Government,0.565,0.392,4.43,2.47,2.58,SBI,6,273,72,73.0,13.9,Hybrid,Moderate,Tier-2
CUST0000183,57,Male,IT/Tech,1.122,0.483,33.77,21.45,16.87,ICICI Bank,6,242,33,61.9,47.1,Fixed Deposits,Moderate,Tier-2
