applicant_id,applicant_age,applicant_gender,employment_type,employment_years,annual_income_lakh,loan_purpose,loan_amount_lakh,loan_tenure_months,interest_rate_pct,credit_score,credit_grade,num_credit_accounts,existing_emis,months_since_last_default,debt_to_income_ratio,total_assets_lakh,property_ownership,state_name,geographic_tier,default_flag
APP000024,54,Male,Self-Employed,3.4,9.42,Education Loan,1.25,60,11.15,633,BB,9,3,999.0,0.36,17.42,Own,Bihar,Tier-3,No
APP000025,33,Male,Salaried,1.9,16.17,Personal Loan,6.25,120,13.9,611,BB,8,2,65.0,0.24,34.67,Own,Rajasthan,Tier-2,Yes
APP000026,43,Female,Business Owner,10.2,17.48,Personal Loan,6.16,120,8.88,761,AA,6,3,999.0,0.36,133.28,Own,Maharashtra,Tier-1,No
APP000027,46,Male,Self-Employed,0.5,6.45,Auto Loan,2.5,120,14.25,621,BB,7,1,999.0,0.12,45.67,Own,Tamil Nadu,Tier-1,No
APP000028,48,Male,Business Owner,0.5,9.74,Personal Loan,1.3,240,11.56,809,AAA,4,4,999.0,0.48,43.78,Company Provided,Maharashtra,Tier-1,No
APP000029,63,Female,Contract,2.6,9.87,Personal Loan,2.09,24,7.72,656,BBB,8,1,999.0,0.12,73.3,Own,Telangana,Tier-1,No
APP000030,49,Male,Contract,0.9,8.94,Auto Loan,2.83,36,13.85,646,BB,4,1,999.0,0.12,27.89,Own,Andhra Pradesh,Tier-2,No
APP000031,37,Male,Business Owner,6.8,7.01,Auto Loan,3.03,12,11.5,636,BB,1,4,999.0,0.48,26.46,Own,Gujarat,Tier-1,No
APP000032,36,Male,Salaried,2.2,7.32,Personal Loan,2.63,84,10.6,634,BB,3,0,35.0,0.0,44.77,Own,Karnataka,Tier-1,No
APP000033,24,Female,Business Owner,1.5,13.33,Home Loan,17.47,84,13.82,562,B,6,3,999.0,0.36,113.68,Own,Delhi NCT,Tier-1,Yes
APP000034,58,Male,Salaried,2.2,12.34,Home Loan,18.56,180,13.15,701,A,6,2,999.0,0.24,77.05,Company Provided,West Bengal,Tier-1,No
APP000035,28,Male,Business Owner,1.2,25.21,Personal Loan,7.79,84,11.28,799,AA,9,0,999.0,0.0,177.98,Rented,Gujarat,Tier-1,No
APP000036,42,Male,Salaried,1.8,13.05,Auto Loan,10.28,24,7.0,820,AAA,3,2,999.0,0.24,90.92,Rented,Gujarat,Tier-1,No
APP000037,30,Female,Self-Employed,4.2,13.05,Auto Loan,6.09,36,12.68,626,BB,8,0,999.0,0.0,111.99,Own,Kerala,Tier-2,No
APP000038,60,Male,Salaried,10.0,11.02,Education Loan,4.2,24,8.45,644,BB,6,1,999.0,0.12,,Rented,Gujarat,Tier-1,No
APP000039,39,Male,Self-Employed,2.3,14.08,Business Loan,14.23,12,12.61,790,AA,7,4,2.0,0.48,111.97,Rented,Telangana,Tier-1,No
APP000040,25,Male,Salaried,1.9,15.28,Home Loan,24.84,36,12.23,694,BBB,1,5,999.0,0.6,94.16,Own,Uttar Pradesh,Tier-3,No
APP000041,46,Female,Salaried,7.6,22.89,Business Loan,15.25,60,11.05,647,BB,6,2,999.0,0.24,161.44,Rented,Haryana,Tier-2,No
APP000042,35,Male,Business Owner,0.5,8.46,Auto Loan,4.59,120,10.96,711,A,4,5,999.0,0.6,63.82,Own,Tamil Nadu,Tier-1,No
APP000043,30,Male,Self-Employed,1.8,8.46,Business Loan,7.6,60,12.04,780,AA,3,5,999.0,0.6,30.38,Rented,Maharashtra,Tier-1,No
APP000044,47,Male,Salaried,3.0,15.73,Business Loan,21.38,36,14.52,765,AA,6,4,999.0,0.48,61.61,Rented,Karnataka,Tier-1,No
APP000045,23,Female,Salaried,4.6,5.22,Personal Loan,0.57,60,14.57,771,AA,1,0,,0.0,42.09,Own,Maharashtra,Tier-1,No
APP000046,41,Male,Salaried,0.8,4.43,Home Loan,4.79,36,9.01,699,BBB,2,2,111.0,0.24,13.34,Own,Uttar Pradesh,Tier-3,No
APP000047,49,Female,Self-Employed,2.8,7.61,Personal Loan,2.69,60,11.56,747,A,5,1,92.0,0.12,58.11,Parental,Bihar,Tier-3,No
APP000048,28,Female,Contract,4.2,9.4,Home Loan,7.61,60,11.86,643,BB,6,1,108.0,0.12,36.83,Parental,Rajasthan,Tier-2,No
APP000049,29,Female,Self-Employed,3.6,8.32,Personal Loan,4.01,48,7.66,810,AAA,8,1,3.0,0.12,36.57,Rented,Rajasthan,Tier-2,No
APP000050,56,Male,Salaried,,11.06,Home Loan,19.12,36,11.35,582,B,6,2,999.0,0.24,92.0,Own,Madhya Pradesh,Tier-2,No
APP000051,35,Female,Salaried,5.4,7.72,Gold Loan,1.59,84,9.8,739,A,9,1,999.0,0.12,48.64,Own,Bihar,Tier-3,No
APP000052,38,Male,Contract,2.4,7.46,Personal Loan,2.1,36,8.77,566,B,9,3,,0.36,49.86,Own,Maharashtra,Tier-1,Yes
APP000053,57,Male,Salaried,0.5,3.6,Business Loan,3.31,180,9.15,650,BBB,8,0,117.0,0.0,30.56,Rented,Maharashtra,Tier-1,No
APP000054,61,Female,Self-Employed,0.5,15.05,Gold Loan,1.74,48,7.0,654,BBB,9,3,80.0,0.36,128.13,Own,Maharashtra,Tier-1,No
APP000055,25,Male,Salaried,9.8,12.64,Gold Loan,1.67,12,9.28,664,BBB,3,4,999.0,0.48,76.93,Rented,Uttar Pradesh,Tier-3,Yes
APP000056,23,Male,Self-Employed,5.7,9.77,Auto Loan,3.85,60,7.0,517,B,5,3,999.0,0.36,23.38,Own,Delhi NCT,Tier-1,Yes
APP000057,27,Male,Business Owner,7.2,15.67,Personal Loan,4.47,60,9.41,697,BBB,7,3,78.0,0.36,61.73,Company Provided,Haryana,Tier-2,Yes
APP000058,63,Male,Salaried,,9.78,Personal Loan,1.05,48,7.0,660,BBB,1,1,100.0,0.12,43.73,Rented,Karnataka,Tier-1,No
APP000059,25,Male,Self-Employed,6.9,19.31,Business Loan,23.44,24,12.22,673,BBB,9,4,97.0,0.48,83.14,Own,Karnataka,Tier-1,No
APP000060,50,Female,Salaried,5.9,10.2,Personal Loan,1.41,60,11.5,573,B,6,1,999.0,0.12,82.78,Own,Telangana,Tier-1,No
APP000061,39,Female,Salaried,5.3,4.33,Home Loan,6.88,36,13.78,592,B,8,1,106.0,0.12,11.83,Rented,Tamil Nadu,Tier-1,No
APP000062,47,Female,Salaried,1.5,25.77,Home Loan,25.13,12,8.82,617,BB,8,2,,0.24,148.03,Own,Gujarat,Tier-1,Yes
APP000063,55,Male,Salaried,15.8,18.34,Personal Loan,6.99,180,10.77,681,BBB,9,0,999.0,0.0,71.64,Rented,Andhra Pradesh,Tier-2,No
APP000064,31,Female,Salaried,3.9,9.28,Auto Loan,3.27,36,9.18,753,AA,7,5,62.0,0.6,17.32,Own,Uttar Pradesh,Tier-3,No
APP000065,57,Male,Business Owner,1.3,15.72,Home Loan,29.93,24,9.67,744,A,3,3,75.0,0.36,18.79,Rented,Delhi NCT,Tier-1,No
APP000066,35,Male,Salaried,1.2,10.58,Personal Loan,3.1,24,11.4,660,BBB,9,1,999.0,0.12,69.16,Rented,Maharashtra,Tier-1,No
APP000067,52,Male,Salaried,8.4,5.91,Home Loan,8.18,36,11.67,761,AA,5,1,999.0,0.12,23.95,Own,Telangana,Tier-1,No
APP000068,36,Male,Salaried,1.4,16.66,Business Loan,23.87,36,10.76,741,A,6,5,999.0,0.6,104.9,Rented,Maharashtra,Tier-1,Yes
APP000069,29,Male,Salaried,0.5,15.73,Auto Loan,10.27,24,8.28,752,AA,4,5,999.0,0.6,104.21,Rented,Bihar,Tier-3,No
APP000070,35,Male,Salaried,2.8,8.61,Personal Loan,3.53,84,13.39,688,BBB,5,3,999.0,0.36,41.06,Parental,Madhya Pradesh,Tier-2,No
APP000071,44,Male,Salaried,8.5,13.06,Personal Loan,1.84,84,11.93,708,A,4,1,999.0,0.12,56.45,Own,Delhi NCT,Tier-1,No
APP000072,61,Male,Self-Employed,2.7,19.22,Home Loan,28.02,12,12.71,701,A,1,3,999.0,0.36,103.19,Rented,Madhya Pradesh,Tier-2,No
APP000073,42,Male,Contract,8.1,10.23,Personal Loan,2.9,24,12.29,615,BB,7,3,999.0,0.36,,Rented,Telangana,Tier-1,No
APP000074,37,Female,Self-Employed,8.8,6.14,Education Loan,2.34,84,11.62,732,A,2,4,999.0,0.48,52.09,Own,Maharashtra,Tier-1,No
APP000075,39,Female,Salaried,9.7,13.16,Home Loan,24.14,60,12.04,782,AA,6,1,999.0,0.12,20.43,Rented,Rajasthan,Tier-2,No
APP000076,45,Male,Contract,4.4,9.31,Business Loan,12.51,36,9.82,732,A,6,2,999.0,0.24,64.56,Rented,Kerala,Tier-2,No
APP000077,47,Male,Salaried,,4.94,Home Loan,7.64,84,8.79,704,A,3,4,89.0,0.48,42.89,Own,Haryana,Tier-2,No
APP000078,46,Female,Salaried,1.5,15.95,Personal Loan,5.52,84,8.21,676,BBB,9,2,999.0,0.24,69.44,Rented,Karnataka,Tier-1,No
APP000079,62,Male,Salaried,0.5,10.28,Business Loan,15.19,84,14.21,667,BBB,8,1,999.0,0.12,42.75,Own,Uttar Pradesh,Tier-3,No
APP000080,50,Female,Salaried,3.8,7.95,Personal Loan,3.76,24,8.15,647,BB,5,2,999.0,0.24,69.11,Own,Gujarat,Tier-1,No
APP000081,36,Male,Business Owner,0.5,45.13,Auto Loan,15.97,84,10.19,732,A,9,5,999.0,0.6,154.22,Own,Kerala,Tier-2,No
APP000082,22,Female,Salaried,3.1,6.69,Home Loan,12.83,48,9.97,778,AA,9,3,999.0,0.36,44.31,Own,Maharashtra,Tier-1,Yes
APP000083,46,Male,Self-Employed,0.5,6.45,Auto Loan,4.93,36,7.0,654,BBB,7,3,999.0,0.36,22.86,Rented,Maharashtra,Tier-1,No
APP000084,28,Male,Salaried,0.6,9.84,Business Loan,5.93,48,8.13,723,A,8,4,65.0,0.48,22.0,Own,Bihar,Tier-3,No
APP000085,30,Female,Self-Employed,10.2,9.94,Business Loan,6.23,36,10.25,655,BBB,6,5,999.0,0.6,41.31,Company Provided,Haryana,Tier-2,Yes
APP000086,45,Male,Self-Employed,5.1,7.97,Personal Loan,2.09,120,8.86,674,BBB,8,3,999.0,0.36,26.81,Own,Karnataka,Tier-1,No
APP000087,22,Male,Salaried,5.2,19.59,Education Loan,9.78,60,10.58,609,BB,6,1,58.0,0.12,36.4,Own,Delhi NCT,Tier-1,No
APP000088,29,Male,Self-Employed,2.6,5.84,Personal Loan,2.46,84,7.7,715,A,4,3,9.0,0.36,29.98,Parental,Maharashtra,Tier-1,No
APP000089,45,Female,Self-Employed,2.7,12.84,Business Loan,18.0,24,7.91,702,A,3,3,999.0,0.36,59.89,Rented,Rajasthan,Tier-2,No
APP000090,32,Male,Self-Employed,1.8,11.36,Home Loan,14.37,36,7.51,665,BBB,1,1,999.0,0.12,89.37,Parental,Gujarat,Tier-1,Yes
APP000091,38,Male,Self-Employed,2.8,10.76,Home Loan,17.0,84,7.0,618,BB,5,2,76.0,0.24,75.76,Own,Chhattisgarh,Tier-3,No
APP000092,29,Male,Self-Employed,4.4,20.45,Auto Loan,15.1,36,10.16,794,AA,4,0,999.0,0.0,44.04,Own,Rajasthan,Tier-2,No
APP000093,56,Male,Salaried,1.0,27.93,Auto Loan,8.51,60,12.07,696,BBB,1,5,999.0,0.6,174.27,Rented,Telangana,Tier-1,No
APP000094,56,Female,Self-Employed,1.5,10.83,Auto Loan,6.86,36,9.47,838,AAA,3,1,1.0,0.12,86.83,Own,Rajasthan,Tier-2,No
APP000095,54,Male,Salaried,3.4,14.71,Home Loan,13.86,36,10.76,720,A,1,5,999.0,0.6,32.86,Rented,Andhra Pradesh,Tier-2,No
APP000096,26,Male,Salaried,2.4,9.23,Personal Loan,3.24,36,7.0,713,A,5,3,999.0,0.36,63.5,Own,Delhi NCT,Tier-1,No
APP000097,63,Male,Business Owner,8.6,15.08,Home Loan,26.57,36,9.72,742,A,8,0,12.0,0.0,59.9,Rented,Gujarat,Tier-1,No
APP000098,60,Male,Salaried,8.6,11.57,Home Loan,22.3,84,14.62,767,AA,7,1,26.0,0.12,21.41,Own,Maharashtra,Tier-1,No
APP000099,62,Male,Salaried,2.0,9.9,Home Loan,19.44,12,10.9,771,AA,8,2,999.0,0.24,60.94,Rented,Delhi NCT,Tier-1,No
APP000100,49,Male,Salaried,3.0,5.47,Gold Loan,2.4,36,12.99,807,AAA,1,1,999.0,0.12,50.96,Rented,Karnataka,Tier-1,No
APP000101,28,Male,Salaried,18.8,18.77,Home Loan,36.23,120,9.56,708,A,7,3,41.0,0.36,132.74,Rented,Gujarat,Tier-1,No
APP000102,30,Female,Salaried,8.8,11.56,Home Loan,20.64,36,8.55,704,A,1,4,1.0,0.48,57.62,Rented,Gujarat,Tier-1,No
APP000103,29,Male,Contract,1.2,8.8,Auto Loan,2.18,48,9.45,591,B,1,5,999.0,0.6,22.34,Rented,Kerala,Tier-2,No
APP000104,33,Female,Salaried,1.6,6.39,Auto Loan,3.38,84,12.52,645,BB,8,3,999.0,0.36,35.83,Rented,Kerala,Tier-2,No
APP000105,55,Male,Self-Employed,0.5,12.72,Auto Loan,3.79,84,9.01,673,BBB,2,1,999.0,0.12,52.67,Parental,West Bengal,Tier-1,No
APP000106,54,Male,Salaried,5.7,7.9,Auto Loan,2.63,12,12.9,667,BBB,9,4,999.0,0.48,61.18,Own,Uttar Pradesh,Tier-3,No
APP000107,44,Male,Self-Employed,1.9,11.97,Home Loan,20.07,24,8.52,550,B,4,1,999.0,0.12,38.03,Own,Uttar Pradesh,Tier-3,Yes
APP000108,45,Male,Contract,3.8,8.13,Personal Loan,2.47,48,14.72,732,A,6,5,,0.6,59.88,Parental,Assam,Tier-3,No
APP000109,58,Female,Salaried,7.3,5.71,Home Loan,7.04,60,12.95,651,BBB,2,5,98.0,0.6,22.85,Company Provided,Karnataka,Tier-1,No
APP000110,56,Female,Business Owner,9.0,35.01,Home Loan,62.21,36,13.06,770,AA,1,2,999.0,0.24,63.93,Own,Tamil Nadu,Tier-1,No
APP000111,61,Female,Contract,2.0,5.37,Gold Loan,1.14,36,9.08,696,BBB,4,1,999.0,0.12,57.88,Parental,West Bengal,Tier-1,No
APP000112,43,Male,Self-Employed,1.4,7.05,Auto Loan,2.22,84,12.45,723,A,2,0,999.0,0.0,35.11,Parental,Telangana,Tier-1,No
APP000113,48,Male,Salaried,9.4,13.1,Business Loan,8.23,48,9.79,692,BBB,6,1,999.0,0.12,72.59,Rented,Gujarat,Tier-1,No
APP000114,56,Male,Self-Employed,2.4,12.84,Home Loan,24.03,84,11.07,590,B,8,3,999.0,0.36,23.95,Rented,Maharashtra,Tier-1,Yes
APP000115,22,Female,Business Owner,8.6,20.77,Personal Loan,9.88,84,11.43,713,A,7,2,999.0,0.24,43.75,Parental,Gujarat,Tier-1,No
APP000116,56,Male,Salaried,0.8,11.9,Personal Loan,5.06,48,9.98,766,AA,8,3,117.0,0.36,110.26,Rented,Karnataka,Tier-1,No
APP000117,58,Male,Salaried,12.1,5.96,Home Loan,9.86,120,11.92,591,B,2,5,102.0,0.6,26.62,Rented,Tamil Nadu,Tier-1,No
APP000118,35,Male,Salaried,3.3,13.05,Business Loan,6.59,60,9.85,669,BBB,5,3,999.0,0.36,46.37,Own,Punjab,Tier-2,No
APP000119,24,Male,Salaried,0.9,6.34,Home Loan,9.36,12,7.0,552,B,4,4,999.0,0.48,12.26,Own,Andhra Pradesh,Tier-2,Yes
APP000120,22,Female,Business Owner,3.8,25.78,Auto Loan,16.6,36,11.43,640,BB,9,0,999.0,0.0,175.18,Rented,Madhya Pradesh,Tier-2,No
APP000121,26,Male,Salaried,10.2,5.21,Personal Loan,1.89,36,9.27,583,B,1,0,999.0,0.0,19.27,Parental,Maharashtra,Tier-1,Yes
APP000122,47,Male,Salaried,2.5,5.83,Business Loan,7.57,12,10.34,660,BBB,5,1,75.0,0.12,42.32,Own,Odisha,Tier-3,No
APP000123,35,Male,Self-Employed,1.0,7.11,Personal Loan,1.82,84,8.63,777,AA,9,5,999.0,0.6,42.76,Own,Tamil Nadu,Tier-1,No
APP000124,60,Female,Salaried,4.3,10.7,Home Loan,12.54,84,9.68,741,A,6,3,,0.36,55.21,Parental,Madhya Pradesh,Tier-2,No
APP000125,48,Male,Salaried,9.0,8.77,Business Loan,10.9,120,10.05,705,A,7,4,999.0,0.48,80.35,Parental,Tamil Nadu,Tier-1,No
APP000126,30,Female,Salaried,0.6,9.61,Home Loan,15.37,60,8.49,660,BBB,5,1,43.0,0.12,63.9,Parental,Maharashtra,Tier-1,No
APP000127,36,Male,Salaried,0.5,8.46,Auto Loan,4.94,48,11.7,612,BB,1,4,8.0,0.48,36.16,Rented,Maharashtra,Tier-1,Yes
APP000128,36,Female,Salaried,0.5,8.76,Home Loan,12.86,60,10.32,693,BBB,5,2,999.0,0.24,45.76,Rented,Gujarat,Tier-1,No
APP000129,47,Female,Salaried,1.3,6.92,Business Loan,4.83,84,11.25,645,BB,2,2,102.0,0.24,23.42,Rented,Delhi NCT,Tier-1,No
APP000130,63,Male,Salaried,0.5,3.93,Business Loan,4.37,84,14.85,614,BB,1,3,40.0,0.36,41.06,Rented,Kerala,Tier-2,No
APP000131,34,Male,Business Owner,2.8,6.7,Business Loan,6.13,60,15.05,605,BB,6,5,999.0,0.6,30.36,Rented,Karnataka,Tier-1,No
APP000132,53,Male,Business Owner,6.0,9.29,Personal Loan,2.33,36,12.09,709,A,6,1,999.0,0.12,76.74,Parental,Uttar Pradesh,Tier-3,No
APP000133,60,Male,Salaried,6.2,7.56,Home Loan,11.53,24,11.64,686,BBB,6,3,999.0,0.36,37.56,Rented,Maharashtra,Tier-1,No
APP000134,53,Female,Self-Employed,5.1,24.24,Home Loan,24.8,60,14.85,769,AA,2,5,105.0,0.6,159.05,Rented,Rajasthan,Tier-2,No
APP000135,25,Male,Business Owner,1.8,8.24,Personal Loan,1.1,36,12.01,689,BBB,4,2,999.0,0.24,47.75,Own,Madhya Pradesh,Tier-2,No
APP000136,51,Male,Salaried,6.7,4.95,Home Loan,8.39,180,12.2,797,AA,1,5,46.0,0.6,48.16,Own,Kerala,Tier-2,No
APP000137,58,Male,Contract,4.3,3.32,Home Loan,5.57,240,7.99,680,BBB,9,0,999.0,0.0,33.21,Rented,Tamil Nadu,Tier-1,No
APP000138,44,Male,Business Owner,9.9,19.02,Home Loan,28.81,12,10.94,733,A,4,4,999.0,0.48,28.79,Rented,Bihar,Tier-3,No
APP000139,60,Female,Salaried,3.3,8.03,Home Loan,7.68,180,10.73,741,A,4,0,115.0,0.0,57.12,Company Provided,Maharashtra,Tier-1,No
APP000140,36,Male,Salaried,1.0,4.43,Auto Loan,2.85,60,7.97,773,AA,1,1,999.0,0.12,21.95,Rented,West Bengal,Tier-1,No
APP000141,64,Female,Salaried,5.0,8.88,Home Loan,11.43,84,15.18,895,AAA,9,0,999.0,0.0,42.99,Own,Tamil Nadu,Tier-1,No
APP000142,50,Female,Salaried,0.8,6.55,Gold Loan,3.11,36,9.59,842,AAA,4,2,999.0,0.24,64.74,Rented,Andhra Pradesh,Tier-2,No
APP000143,57,Male,Business Owner,16.5,29.44,Home Loan,42.76,120,7.48,525,B,9,0,46.0,0.0,33.86,Parental,Uttar Pradesh,Tier-3,No
APP000144,34,Male,Contract,6.1,6.24,Personal Loan,3.12,24,16.07,672,BBB,4,5,,0.6,49.76,Own,Uttar Pradesh,Tier-3,No
APP000145,53,Female,Salaried,7.1,22.96,Home Loan,43.81,84,9.0,688,BBB,5,0,999.0,0.0,114.44,Own,Gujarat,Tier-1,No
APP000146,28,Male,Self-Employed,5.7,11.91,Auto Loan,5.35,84,8.19,712,A,1,4,37.0,0.48,,Company Provided,Uttar Pradesh,Tier-3,No
APP000147,43,Male,Self-Employed,0.5,8.72,Home Loan,9.46,12,10.78,691,BBB,7,1,999.0,0.12,19.69,Own,West Bengal,Tier-1,No
APP000148,49,Male,Salaried,3.1,7.84,Home Loan,7.59,60,11.01,735,A,4,4,999.0,0.48,70.59,Own,Telangana,Tier-1,No
APP000149,23,Male,Self-Employed,5.3,12.73,Home Loan,10.19,60,9.84,833,AAA,3,0,999.0,0.0,28.16,Own,Haryana,Tier-2,No
APP000150,63,Female,Contract,1.3,7.79,Auto Loan,4.45,84,12.15,593,B,4,5,999.0,0.6,41.93,Own,Karnataka,Tier-1,No
APP000151,27,Male,Salaried,5.7,5.42,Personal Loan,1.05,60,8.09,733,A,6,2,999.0,0.24,36.59,Own,Uttar Pradesh,Tier-3,No
APP000152,49,Male,Salaried,8.6,12.77,Personal Loan,5.11,24,8.29,639,BB,3,0,9.0,0.0,24.04,Rented,Maharashtra,Tier-1,No
APP000153,49,Female,Salaried,1.6,15.57,Education Loan,6.55,60,15.89,708,A,9,1,999.0,0.12,57.24,Rented,Telangana,Tier-1,No
APP000154,41,Female,Salaried,1.1,15.88,Home Loan,15.57,120,11.33,801,AAA,3,3,999.0,0.36,32.35,Rented,Maharashtra,Tier-1,No
APP000155,51,Male,Salaried,10.7,8.26,Home Loan,10.92,60,8.94,647,BB,2,5,999.0,0.6,43.56,Own,Haryana,Tier-2,No
APP000156,32,Female,Salaried,0.5,16.45,Personal Loan,7.83,36,11.54,650,BBB,5,2,999.0,0.24,13.99,Rented,Rajasthan,Tier-2,No
APP000157,49,Male,Salaried,1.5,10.74,Home Loan,11.96,36,8.65,789,AA,9,0,19.0,0.0,,Rented,Tamil Nadu,Tier-1,No
APP000158,46,Female,Self-Employed,2.6,9.22,Home Loan,7.83,36,7.27,900,AAA,1,0,39.0,0.0,74.54,Company Provided,Haryana,Tier-2,No
APP000159,60,Male,Salaried,5.6,6.63,Personal Loan,0.57,60,9.7,668,BBB,6,2,999.0,0.24,46.12,Own,Assam,Tier-3,No
APP000160,54,Male,Salaried,29.2,14.97,Auto Loan,5.41,36,7.81,691,BBB,8,2,999.0,0.24,30.06,Own,West Bengal,Tier-1,No
APP000161,22,Female,Business Owner,2.3,5.72,Home Loan,7.87,36,10.68,615,BB,6,2,999.0,0.24,29.1,Own,Uttar Pradesh,Tier-3,No
APP000162,48,Male,Business Owner,14.9,30.99,Business Loan,25.12,60,10.97,817,AAA,9,1,999.0,0.12,117.79,Own,Karnataka,Tier-1,No
APP000163,34,Other,Salaried,2.3,9.67,Personal Loan,1.27,120,8.84,728,A,6,0,91.0,0.0,24.31,Rented,Maharashtra,Tier-1,No
APP000164,62,Male,Salaried,5.9,6.5,Education Loan,1.77,60,10.91,697,BBB,8,0,7.0,0.0,33.57,Company Provided,Karnataka,Tier-1,No
APP000165,24,Female,Business Owner,0.9,9.75,Personal Loan,2.09,24,11.0,780,AA,4,3,999.0,0.36,66.95,Parental,West Bengal,Tier-1,No
APP000166,60,Female,Salaried,3.1,7.07,Auto Loan,1.91,12,8.99,719,A,8,2,41.0,0.24,24.24,Rented,Telangana,Tier-1,No
APP000167,27,Male,Salaried,10.3,13.31,Business Loan,11.14,60,7.63,751,AA,3,5,97.0,0.6,32.28,Rented,Gujarat,Tier-1,No
APP000168,29,Female,Salaried,1.9,10.71,Personal Loan,2.56,240,7.89,694,BBB,7,3,999.0,0.36,98.48,Own,Delhi NCT,Tier-1,No
APP000169,48,Male,Salaried,0.6,7.01,Business Loan,5.71,36,13.51,699,BBB,6,2,999.0,0.24,65.47,Parental,Tamil Nadu,Tier-1,No
APP000170,30,Female,Salaried,3.7,6.7,Personal Loan,2.94,60,7.08,634,BB,8,1,999.0,0.12,68.02,Own,Tamil Nadu,Tier-1,No
APP000171,58,Male,Salaried,2.9,10.73,Personal Loan,3.59,48,10.6,675,BBB,9,4,999.0,0.48,91.0,Own,Punjab,Tier-2,No
